scenario_id,scenario_label,ego_vehicle_id,start_global_time,end_global_time,lane_start,lane_end,frames
congested_traffic_veh3_1113437626200,congested_traffic,3,1113437626200,1113437631100,3,3,50
congested_traffic_veh3_1113437627200,congested_traffic,3,1113437627200,1113437632100,3,3,50
congested_traffic_veh3_1113437628200,congested_traffic,3,1113437628200,1113437633100,3,3,50
congested_traffic_veh3_1113437629200,congested_traffic,3,1113437629200,1113437634100,3,3,50
congested_traffic_veh3_1113437630200,congested_traffic,3,1113437630200,1113437635100,3,3,50
congested_traffic_veh3_1113437631200,congested_traffic,3,1113437631200,1113437636100,3,3,50
congested_traffic_veh4_1113437617300,congested_traffic,4,1113437617300,1113437622200,3,3,50
congested_traffic_veh4_1113437618300,congested_traffic,4,1113437618300,1113437623200,3,3,50
congested_traffic_veh4_1113437619300,congested_traffic,4,1113437619300,1113437624200,3,3,50
congested_traffic_veh4_1113437620300,congested_traffic,4,1113437620300,1113437625200,3,3,50
congested_traffic_veh4_1113437621300,congested_traffic,4,1113437621300,1113437626200,3,3,50
congested_traffic_veh4_1118847859900,congested_traffic,4,1118847859900,1118847864800,2,2,50
congested_traffic_veh4_1118847860900,congested_traffic,4,1118847860900,1118847865800,2,2,50
congested_traffic_veh4_1118847861900,congested_traffic,4,1118847861900,1118847866800,2,2,50
congested_traffic_veh4_1118847862900,congested_traffic,4,1118847862900,1118847867800,2,2,50
congested_traffic_veh4_1118847863900,congested_traffic,4,1118847863900,1118847868800,2,2,50
congested_traffic_veh5_1113437565600,congested_traffic,5,1113437565600,1113437570500,4,4,50
congested_traffic_veh5_1113437566600,congested_traffic,5,1113437566600,1113437571500,4,4,50
congested_traffic_veh5_1113437567600,congested_traffic,5,1113437567600,1113437572500,4,4,50
congested_traffic_veh5_1113437568600,congested_traffic,5,1113437568600,1113437573500,4,4,50
congested_traffic_veh5_1113437569600,congested_traffic,5,1113437569600,1113437574500,4,4,50
congested_traffic_veh5_1113437570600,congested_traffic,5,1113437570600,1113437575500,4,4,50
congested_traffic_veh5_1113437571600,congested_traffic,5,1113437571600,1113437576500,4,4,50
congested_traffic_veh5_1113437572600,congested_traffic,5,1113437572600,1113437577500,4,4,50
congested_traffic_veh5_1113437573600,congested_traffic,5,1113437573600,1113437578500,4,4,50
congested_traffic_veh5_1113437574600,congested_traffic,5,1113437574600,1113437579500,4,4,50
congested_traffic_veh5_1113437575600,congested_traffic,5,1113437575600,1113437580500,4,4,50
congested_traffic_veh5_1113437576600,congested_traffic,5,1113437576600,1113437581500,4,4,50
congested_traffic_veh5_1113437577600,congested_traffic,5,1113437577600,1113437582500,4,4,50
congested_traffic_veh5_1113437578600,congested_traffic,5,1113437578600,1113437583500,4,4,50
congested_traffic_veh5_1113437579600,congested_traffic,5,1113437579600,1113437584500,4,4,50
congested_traffic_veh5_1113437580600,congested_traffic,5,1113437580600,1113437585500,4,4,50
congested_traffic_veh5_1113437583600,congested_traffic,5,1113437583600,1113437588500,4,4,50
congested_traffic_veh5_1113437584600,congested_traffic,5,1113437584600,1113437589500,4,4,50
congested_traffic_veh5_1113437585600,congested_traffic,5,1113437585600,1113437590500,4,4,50
congested_traffic_veh5_1113437586600,congested_traffic,5,1113437586600,1113437591500,4,4,50
congested_traffic_veh5_1113437587600,congested_traffic,5,1113437587600,1113437592500,4,4,50
congested_traffic_veh5_1113437588600,congested_traffic,5,1113437588600,1113437593500,4,4,50
congested_traffic_veh5_1113437589600,congested_traffic,5,1113437589600,1113437594500,4,4,50
congested_traffic_veh5_1113437590600,congested_traffic,5,1113437590600,1113437595500,4,4,50
congested_traffic_veh5_1113437591600,congested_traffic,5,1113437591600,1113437596500,4,4,50
congested_traffic_veh5_1113437592600,congested_traffic,5,1113437592600,1113437597500,4,4,50
congested_traffic_veh5_1113437593600,congested_traffic,5,1113437593600,1113437598500,4,4,50
congested_traffic_veh5_1118847843100,congested_traffic,5,1118847843100,1118847848000,1,1,50
congested_traffic_veh5_1118847844100,congested_traffic,5,1118847844100,1118847849000,1,1,50
congested_traffic_veh5_1118847845100,congested_traffic,5,1118847845100,1118847850000,1,1,50
congested_traffic_veh5_1118847846100,congested_traffic,5,1118847846100,1118847851000,1,1,50
congested_traffic_veh8_1113437629000,congested_traffic,8,1113437629000,1113437633900,2,2,50
congested_traffic_veh8_1113437630000,congested_traffic,8,1113437630000,1113437634900,2,2,50
congested_traffic_veh8_1113437631000,congested_traffic,8,1113437631000,1113437635900,2,2,50
congested_traffic_veh8_1113437632000,congested_traffic,8,1113437632000,1113437636900,2,2,50
congested_traffic_veh8_1113437633000,congested_traffic,8,1113437633000,1113437637900,2,2,50
congested_traffic_veh8_1118847867300,congested_traffic,8,1118847867300,1118847872200,2,2,50
congested_traffic_veh9_1113437622500,congested_traffic,9,1113437622500,1113437627400,3,3,50
congested_traffic_veh9_1113437623500,congested_traffic,9,1113437623500,1113437628400,3,3,50
